"","endpoint","N","CVI.Score","sd","se","ci"
"1","carc",10824,0.53949147452612,0.0813194896000275,0.000781629158624513,0.00153213634270218
"2","cardio",7627,0.543236686594062,0.0830546843474297,0.000951014763215914,0.00186425056940409
"3","CNS",9814,0.544753181896692,0.0833370419443592,0.000841230585212541,0.00164898504001886
"4","edcs",7503,0.538025457670194,0.0804724016159569,0.000929029467389564,0.00182115811956735
"5","lkt",7020,0.542465783895136,0.0819995077476345,0.00097868445269988,0.00191851710992035
