,Acrylonitrile,Benzenamine,Styrene,Benzene,Tribromomethane,Vinyl chloride
Acetaldehyde,2.173913043,2.218114603,2.33592881,7.458363505,0.200803213,2.222222222
Acrylonitrile,NA,8.163265306,4.202279202,2.026342452,0,4.109589041
Benzenamine,NA,NA,1.559020045,2.580645161,0,6.741573034
Styrene,NA,NA,NA,8.77914952,0.076687117,1.114413076
Benzene,NA,NA,NA,NA,0.112739572,2.368137783
Tribromomethane,NA,NA,NA,NA,NA,2.173913043
