,Nickel,Arsenic,Chromium,Lead
Cadmium,2.586206897,12.27154047,1.059220029,1.497797357
Nickel,NA,5.719501065,32.202369,13.70187358
Arsenic,NA,NA,1.388888889,3.374012922
Chromium,NA,NA,NA,6.883011895
