,Cobalt,Molybdenum,Naphthalene,"2,5-Furandione"
Barium carbonate,1.674277017,5.027932961,1.059803179,2.127659574
Cobalt,NA,9.72972973,6.323060574,1.468624833
Molybdenum,NA,NA,4.415954416,1.84501845
Naphthalene,NA,NA,NA,2.476999292
